scnlp400-00001	neutralizador de nitroglicerina
scnlp400-03944	empleado de envío y recepción
scnlp400-03945	procesador de patatas instantáneo
scnlp400-03946	supervisor de reparación de contador de gas
scnlp400-03947	probador de lámparas e inspector
scnlp400-03948	supervisor de broommaking
scnlp400-03949	liniero defensivo
scnlp400-03950	limpiador de arnés
scnlp400-03951	inspector de diseño auto
scnlp400-03952	supervisor de filtracion
scnlp400-03953	operador de cable de vulcanización automática
scnlp400-03954	erector de línea
scnlp400-03955	canciller
scnlp400-03956	operador de la máquina de enlatado
scnlp400-03957	escritor de cheques
scnlp400-03958	jefe de laboratorio químico
scnlp400-03959	limpiador de piedra
scnlp400-03960	superintendente de planta de calefacción
scnlp400-03961	inmunologista alergólogo
scnlp400-03962	supervisor de fabricación de piedra de hormigón
scnlp400-03963	calcetería completa, operador automático de la máquina de punto
scnlp400-03964	alodizar el operador de la máquina
scnlp400-03965	oficial de mando de la policía
scnlp400-03966	máquina de tinta
scnlp400-03967	ingeniero de diseño de equipos nucleares
scnlp400-03968	periodista fotográfico
scnlp400-03969	trenzado patrón setter
scnlp400-03970	supervisor de camiones
scnlp400-03971	ayudante del recortador de árboles
scnlp400-03972	operador de molinillo de inglete
scnlp400-03973	periodista
scnlp400-03974	mecánico de fuselaje y planta de energía
scnlp400-03975	recepcionista de salón de aerolíneas
scnlp400-03976	empleado de cita
scnlp400-03977	operador de la máquina de insertar pasadores
scnlp400-03978	instalador del sistema de ordeño
scnlp400-03979	jefe
scnlp400-03980	operador de maquinas de plastico al vacío
scnlp400-03981	mecánico de puertas automático
scnlp400-03982	operador de máquina recortadora
scnlp400-03983	supervisor de sala de trapo
scnlp400-03984	operador de máquina de fibra de vidrio
scnlp400-03985	inspector de impresión
scnlp400-03986	operador de máquina de recubrimiento de papel
scnlp400-03987	ingeniero de seguridad
scnlp400-03988	operador de máquina de chapado
scnlp400-03989	periodontista
scnlp400-03990	operador de máquinas de corte y envasado de levaduras
scnlp400-03991	joyero
scnlp400-03992	carnicera
scnlp400-03993	bibliógrafo
scnlp400-03994	probador de chips
scnlp400-03995	operador de máquina de preformas
scnlp400-03996	reparador de equipos médicos
scnlp400-03997	fabricante de esquí de encargo
scnlp400-03998	operador de máquina de coser semiautomática
scnlp400-03999	director de biblioteca
scnlp400-04000	impresión de tela
scnlp400-04001	corte de vidrio o molienda de la máquina de producción de licitación
scnlp400-04002	operador de depuración i
scnlp400-04003	presionador inferior
scnlp400-04004	stitchdowns traducción
scnlp400-04005	operador de máquina depiladora
scnlp400-04006	notereader
scnlp400-04007	tecnólogo de madera
scnlp400-04008	shell molder
scnlp400-04009	operador de máquina de acabado
scnlp400-04010	operador de máquina de tarar
scnlp400-04011	encintadora automática
scnlp400-04012	operador de bomba de cavidad
scnlp400-04013	inspector de marcación
scnlp400-04014	alodizar ayudante de máquina
scnlp400-04015	bodeguero
scnlp400-04016	componentes de la máquina de oficina
scnlp400-04017	lijadora de torno
scnlp400-04018	removedor de piezas
scnlp400-04019	operador del clasificador
scnlp400-04020	rodillo de plástico
scnlp400-04021	ordenador geodésico
scnlp400-04022	representante de ventas de equipos y suministros de construcción
scnlp400-04023	mecánico de servicio
scnlp400-04024	minero
scnlp400-04025	supervisor de sitios históricos
scnlp400-04026	mecánico de vehículos de vía sin fin
scnlp400-04027	locutor
scnlp400-04028	operador de máquina de taladros
scnlp400-04029	recortador de perfil
scnlp400-04030	planchadora de planchas flexográficas
scnlp400-04031	head doffer
scnlp400-04032	operador de pruebas de formación
scnlp400-04033	impresora de proyección
scnlp400-04034	caldera de azúcar
scnlp400-04035	supervisor de fábrica
scnlp400-04036	ayudante del operador de la máquina de recubrimiento
scnlp400-04037	operador de pulverizador automático de pintura
scnlp400-04038	limpiador de cuarto de baño
scnlp400-04039	licitación
scnlp400-04040	operador de la máquina en blanco
scnlp400-04041	laminador de fibra de vidrio
scnlp400-04042	geodésico
scnlp400-04043	materiales de construcción o supervisor de yarda de madera
scnlp400-04044	operador de equipo de carbón
scnlp400-04045	operador de máquina de coser perfil
scnlp400-04046	instructor de trabajo de extensión
scnlp400-04047	consejero de campamento
scnlp400-04048	empleado de dirección incorrecto
scnlp400-04049	operador de prensa de troquel caliente
scnlp400-04050	diseñador gráfico
scnlp400-04051	insertador de puntas
scnlp400-04052	ayudante del extremo húmedo
scnlp400-04053	ensamblador de línea de producción
scnlp400-04054	terapeuta de arte
scnlp400-04055	operador de máquina de limpieza de vapor
scnlp400-04056	inspector de montaje de precisión
scnlp400-04057	supervisor de control de calidad
scnlp400-04058	dibujante de dibujos animados
scnlp400-04059	operador de plodder
scnlp400-04060	examinador de esquema de distribución de correo
scnlp400-04061	supervisor de departamento de destilación
scnlp400-04062	conductor de camión pesado
scnlp400-04063	aprendiz de servicio de máquina de oficina
scnlp400-04064	guía de la máquina
scnlp400-04065	ensamblador de cepillos de carbón
scnlp400-04066	oficial de inteligencia
scnlp400-04067	ministro del petróleo
scnlp400-04068	muestreador en bruto
scnlp400-04069	tacón
scnlp400-04070	mecánico de lancha
scnlp400-04071	encargado de información de cuenta
scnlp400-04072	licitación de flakeboard
scnlp400-04073	supervisor de producción
scnlp400-04074	ingeniero jefe
scnlp400-04075	hidrógrafo
scnlp400-04076	operador de máquina de tejer de madera
scnlp400-04077	trabajador de moldes
scnlp400-04078	producir pesadora
scnlp400-04079	operador de equipo de piso de trituración
scnlp400-04080	operador de clarificación de la planta
scnlp400-04081	estrella porno
scnlp400-04082	director de casting
scnlp400-04083	agente de servicio secreto
scnlp400-04084	supervisor de tapicería
scnlp400-04085	supervisor de ajuste de fuerza
scnlp400-04086	mecánico de automóviles
scnlp400-04087	barril plater
scnlp400-04088	ingeniero de la utilización
scnlp400-04089	ensamblador de tubos de rayos catódicos
scnlp400-04090	ginecólogo
scnlp400-04091	ginecóloga
scnlp400-04092	pesado forger ayudante
scnlp400-04093	ingeniero de diseño mecánico de instalaciones
scnlp400-04094	diseñador de escenario
scnlp400-04095	trabajador de hormigón pretensado
scnlp400-04096	ensamblador de diseño
scnlp400-04097	probador de tensión de urdimbre
scnlp400-04098	popper de maíz
scnlp400-04099	clíper
scnlp400-04100	operador centrífugo
scnlp400-04101	operador de máquina de redondeo
scnlp400-04102	supervisor de producción de fosfato defluorado
scnlp400-04103	operador automático de la máquina de colada
scnlp400-04104	analista de gestión
scnlp400-04105	alcaide fuego
scnlp400-04106	ensamblador de ropa quirúrgica
scnlp400-04107	abridor
scnlp400-04108	operador de refinería
scnlp400-04109	shellacker
scnlp400-04110	ingeniero de mantenimiento
scnlp400-04111	operador de máquina de afilado de producción
scnlp400-04112	chulo
scnlp400-04113	arnés de arnés
scnlp400-04114	ministro de salud
scnlp400-04115	insertador de papel
scnlp400-04116	operador de la máquina de afilado
scnlp400-04117	mecánico de instalación de camiones
scnlp400-04118	coordinador de control de metales
scnlp400-04119	modelador
scnlp400-04120	vegetal ii trabajador agrícola
scnlp400-04121	oficial de asistencia
scnlp400-04122	coreógrafo
scnlp400-04123	secretario de escuela
scnlp400-04124	asistente de tambor
scnlp400-04125	formando departamento ii supervisor
scnlp400-04126	pescadero
scnlp400-04127	magistrada
scnlp400-04128	director de asesoramiento
scnlp400-04129	coordinador de control de calidad
scnlp400-04130	trabajador general de la destilería
scnlp400-04131	técnico de equipos automáticos
scnlp400-04132	constructor de piedra de hormigón
scnlp400-04133	operador de máquina chinchilla
scnlp400-04134	ensamblador de fósforos
scnlp400-04135	preparador de carne ahumada
scnlp400-04136	relleno inferior
scnlp400-04137	instructor de tejer
scnlp400-04138	compresor del talón
scnlp400-04139	defensor
scnlp400-04140	negociante
scnlp400-04141	asistente de coche de salón
scnlp400-04142	alquimista
scnlp400-04143	perforadora de diamantes
scnlp400-04144	probador dinamómetro motor
scnlp400-04145	patrullero del baño de giro
scnlp400-04146	instalador de marcador de carril
scnlp400-04147	director de educación religiosa
scnlp400-04148	operador automático de máquina de clavar
scnlp400-04149	supervisor de refinería de azúcar
scnlp400-04150	operador de molino de pellets
scnlp400-04151	fundador
scnlp400-04152	ingeniero de pruebas de equipos mecánicos
scnlp400-04153	operador de máquina de embalaje de dinamita
scnlp400-04154	trabajador del servicio de césped
scnlp400-04155	operador de mezclador de barro
scnlp400-04156	operador de tumbler
scnlp400-04157	pianista
scnlp400-04158	operador de la máquina de productos de papel
scnlp400-04159	plaster die maker
scnlp400-04160	operador químico ii
scnlp400-04161	apilador de la placa de la máquina
scnlp400-04162	mezclador de grano
scnlp400-04163	preparador químico
scnlp400-04164	operador de máquina de mechones
scnlp400-04165	experto en color
scnlp400-04166	ingeniero cable planta exterior
scnlp400-04167	operador de turbina de cabeza
scnlp400-04168	barquero
scnlp400-04169	operador de máquinas de colocación de machos
scnlp400-04170	inspector de mica
scnlp400-04171	molinillo de cartón duro
scnlp400-04172	ayudante de ceramista dental
scnlp400-04173	alimentador de la máquina de laminación
scnlp400-04174	artista de calle
scnlp400-04175	actor director
scnlp400-04176	asistente de niños
scnlp400-04177	operador de planta húmeda
scnlp400-04178	cortador de tubo de vidrio de alambre caliente
scnlp400-04179	cargador de coque
scnlp400-04180	operador de máquina de peine
scnlp400-04181	especialista en control de desastres o daños
scnlp400-04182	operador de máquina de fotocomposición
scnlp400-04183	instalador de furring de puerta
scnlp400-04184	corte automático de troncos
scnlp400-04185	lanzador de relieve
scnlp400-04186	supervisor de quema
scnlp400-04187	ensamblador de caña de pescar
scnlp400-04188	mezclador insecticida
scnlp400-04189	paracaídas
scnlp400-04190	trabajador de pulverización de plata
scnlp400-04191	técnico de lanzamiento y recuperación de aeronaves
scnlp400-04192	relleno de la bandeja
scnlp400-04193	reparador de equipos lácteos
scnlp400-04194	máquina de moldear
scnlp400-04195	inspector de tuberías de aceite ayudante
scnlp400-04196	alimentador de túnel de vapor
scnlp400-04197	agente de compras
scnlp400-04198	operador de prensa de huecograbado
scnlp400-04199	villano
scnlp400-04200	coordinador de contenedores
scnlp400-04201	cantante guitarrista
scnlp400-04202	el piloto de la máquina de embalaje puede enrutador
scnlp400-04203	ayudante de tejedor de alambre
scnlp400-04204	supervisor de fabricación de plásticos
scnlp400-04205	mozo de reparto
scnlp400-04206	asiento de ventana automático y reparador de elevadores superior
scnlp400-04207	técnico de la función pulmonar
scnlp400-04208	pescador de envío y recepción
scnlp400-04209	botón y hebilla
scnlp400-04210	carnicero
scnlp400-04211	asistente de quiropráctico
scnlp400-04212	sociólogo
scnlp400-04213	supervisor de departamento de análisis y análisis
scnlp400-04214	plugger canción
scnlp400-04215	supervisor de tubing
scnlp400-04216	operador de cortador
scnlp400-04217	almendra huller
scnlp400-04218	ayudante del operador más seco
scnlp400-04219	comentarista
scnlp400-04220	ensamblador de ataúd
scnlp400-04221	supervisor de sala de curado
scnlp400-04222	especialista en certificación y selección
scnlp400-04223	operador de máquina de cerdo
scnlp400-04224	tecnólogo de alimentos
scnlp400-04225	bulker de tabaco cortado
scnlp400-04226	arch cushion prensa operador
scnlp400-04227	climatólogo
scnlp400-04228	maquina automática
scnlp400-04229	mecánico de maquinaria agrícola
scnlp400-04230	ensamblador de barra y relleno
scnlp400-04231	operador fluoroscopio
scnlp400-04232	operador paletizador i
scnlp400-04233	operador de máquina de línea
scnlp400-04234	impregnador y ayudante más seco
scnlp400-04235	operador de máquina de encaje de palancas
scnlp400-04236	supervisor de picking
scnlp400-04237	supervisor de planta de reducción
scnlp400-04238	batería
scnlp400-04239	instalador de tuberías
scnlp400-04240	operador de la máquina de envolver alambre
scnlp400-04241	cargador de alambre
scnlp400-04242	máquina de hilar
scnlp400-04243	destilador ii
scnlp400-04244	levantador de piel de tocino
scnlp400-04245	supervisor de licuefacción y regasificación
scnlp400-04246	operador tetryl disolver
scnlp400-04247	director de orientación en escuelas públicas
scnlp400-04248	cortador de banda
scnlp400-04249	lavador de autos
scnlp400-04250	supervisor de composición y acabado
scnlp400-04251	operador de máquina de refrigeración
scnlp400-04252	ajustador automático de pinsetter
scnlp400-04253	reparador de neumáticos
scnlp400-04254	ayudante de baño matricial
scnlp400-04255	traducciones de upsetter
scnlp400-04256	aprendiz de joyería
scnlp400-04257	ladrillo refractario y ladrillo refractario albañil
scnlp400-04258	maestro
scnlp400-04259	operador de compositor de cinta magnética
scnlp400-04260	entrenador dramático
scnlp400-04261	motores eléctricos ventaperson
scnlp400-04262	ayudante del operador buzzsaw
scnlp400-04263	asistente de máquina automática
scnlp400-04264	supervisor de cable
scnlp400-04265	ingeniero jefe de petróleo
scnlp400-04266	peletero
scnlp400-04267	inspector neumático de deicer
scnlp400-04268	gerente de departamento
scnlp400-04269	trilladora de broomcorn
scnlp400-04270	despachador de autobuses interestatales
scnlp400-04271	ayudante de dentista
scnlp400-04272	instalador y reparador de esquís
scnlp400-04273	bateador designado
scnlp400-04274	operador de briquetter
scnlp400-04275	hemmer
scnlp400-04276	titiritero
scnlp400-04277	ayudante compuesto químico
scnlp400-04278	finisher de dentadura
scnlp400-04279	ayudante del fabricante del aro de la máquina
scnlp400-04280	operador de reparación
scnlp400-04281	ayudante de operador de máquina de briquetas
scnlp400-04282	fabricante de la cadena de la máquina
scnlp400-04283	ayudante de operador de slotter
scnlp400-04284	supervisor de decoración
scnlp400-04285	alineador fotográfico wafers de semiconductores
scnlp400-04286	cajón de máquina de coser
